,delay
0,0.148480261482762
1,0.14857534580683807
2,0.14857592527197205
3,0.14857534806164976
4,0.14857534580683807
5,0.14857534597131622
6,0.14857534580683807
7,0.14857535
8,0.1485753461125004
9,0.14857534580683807
10,0.14857535
11,0.14857535
12,0.14857534567047892
13,0.14857535
14,0.1485772583787693
15,0.14856203424976222
16,0.14857610128356924
17,0.14869147411241174
18,0.14857535
19,0.14857535
20,0.148564852510753
21,0.14858073651741835
22,0.14857609074083392
23,0.14857535
24,0.14857301265355208
25,0.14857535
26,0.14857534550683207
27,0.14857534540405756
28,0.14857554645000234
29,0.14857535
30,0.1485753482381104
31,0.14857534248491858
32,0.1485746873026669
33,0.1485753457431747
34,0.14857441107058283
35,0.14857544498345282
36,0.1485753458750713
37,0.14857534568861294
38,0.14857534516010518
39,0.14857534239439543
40,0.14857534638449316
41,0.14857534519647037
42,0.14857534835043265
43,0.14857534844679784
44,0.1485753459920964
45,0.14857535
46,0.14857534469086836
47,0.148575344749903
48,0.14857527344521443
49,0.1485763663517453
50,0.148564039567671
51,0.14857535110970083
52,0.14857535
53,0.14857535
54,0.1485753449460605
55,0.14857534590226645
56,0.14857534570820574
57,0.1485753457094018
58,0.14857535
59,0.14857534570953293
60,0.14857535
61,0.14857534564271077
62,0.1485753461534226
63,0.1485753568344283
64,0.14857534624775431
65,0.14847688695536673
66,0.1485753458494949
67,0.14857535
68,0.14857535
69,0.14857534724430987
70,0.14857887019588947
71,0.14857534615078094
72,0.14857534564173352
73,0.14857534592552493
74,0.14857534619532903
75,0.14857534865602423
76,0.14857534567033065
77,0.1485753452496772
78,0.14857532540014232
79,0.1485753459666034
80,0.14857535
81,0.1485721879471981
82,0.14857534524617758
83,0.14857535
84,0.1485753460686428
85,0.14857533195197675
86,0.14857535158713145
87,0.1485753465969319
88,0.14857534731109595
89,0.1485753457068702
90,0.14857534587388724
91,0.14857534649851617
92,0.1485753438827995
93,0.1485753449459212
94,0.14857535
95,0.14857534628709468
96,0.14857535
97,0.14857532813202845
98,0.14857535
99,0.1485719395430011
100,0.14857534616769025
101,0.148575345784162
102,0.14857534580936044
103,0.14857534166616582
104,0.1485753334257604
105,0.14856561223011983
106,0.14857533840167522
107,0.14857534585043636
108,0.14857487934557986
109,0.14857285425486225
110,0.14857535
111,0.1485753457418779
112,0.14857535
113,0.148575392711251
114,0.14857534622617788
115,0.1485753596719369
116,0.14857531676180474
117,0.14857534341346584
118,0.1485753509622471
119,0.14857541506819846
120,0.14857534599582684
121,0.14858127243823357
122,0.14857534629918379
123,0.14857534654363422
124,0.14857534538236716
125,0.1485753459372486
126,0.14857619598550592
127,0.14914955366066757
128,0.14855983477147727
129,0.14795059249073506
130,0.14857534609589154
131,0.1485753462364895
132,0.14857534578460435
133,0.14857547491211642
134,0.14857998975814568
135,0.1485753779041371
136,0.14865628869785805
137,0.14856264562722385
138,0.14857534713122192
139,0.14857535
140,0.1485753449269836
141,0.14857534763502692
142,0.1485752746981881
143,0.14857535
144,0.14857389341177743
145,0.14857535
146,0.14857535
147,0.14857535
148,0.14857535
149,0.14857534644945525
150,0.1485732150341211
151,0.14884092984387504
152,0.14857539066319517
153,0.14862415798004808
154,0.1485753942170168
155,0.14857485925034267
156,0.148696204184067
157,0.1485753421376578
158,0.1485753447518716
159,0.14857539581972617
160,0.14857534817082654
161,0.1485754137706349
162,0.14857537393136747
163,0.14857534752261076
164,0.14857534622158483
165,0.14855297105760415
166,0.14857527055511757
167,0.14857469411055174
168,0.14857536049238038
169,0.14857534528184302
170,0.14857535
171,0.14857535
172,0.14857534868490407
173,0.14857535
174,0.148575345955947
175,0.14857535
176,0.14857535
177,0.14857531881246822
178,0.14857535
179,0.14857535998984575
180,0.1485753460295445
181,0.14857535
182,0.14857534437382808
183,0.14857539133951547
184,0.14858922572603975
185,0.14857541067911142
186,0.14857543400158923
187,0.14857547216120412
188,0.14857534433436562
189,0.14857534541501596
190,0.14857535420998574
191,0.1485748510878628
192,0.14857534621275112
193,0.1485753460792947
194,0.14857534549500953
195,0.1485753458235261
196,0.14857535
197,0.14857535
198,0.14857535
199,0.1485753860601083
200,0.148575347635682
201,0.14857535288669402
202,0.14857535013252726
203,0.14899733590844202
204,0.14857542675644833
205,0.14857534791837318
206,0.1485756387559463
207,0.14857492323737856
208,0.14857535
209,0.14857535
210,0.14857535
211,0.14856183662913883
212,0.1485768126674863
213,0.14858567058567057
214,0.14857534529604666
215,0.1485753450580129
216,0.14857534555598684
217,0.1485753462571983
218,0.14857534509631587
219,0.14857534687173565
220,0.14857535
221,0.14857535
222,0.14857535
223,0.14857535
224,0.14857535
225,0.14857535
226,0.14857535
227,0.14857535
228,0.14857535
229,0.14857535
230,0.14857535
231,0.14857535
232,0.14857535
233,0.14857535
234,0.14857534580683807
235,0.14857535
236,0.14857535
237,0.14857535
238,0.14857535
239,0.14857535
240,0.14857535
241,0.14857535
242,0.14857541266710697
243,0.148503711009821
244,0.1485753457638694
245,0.14875347365906952
246,0.14858154882222827
247,0.1667323016836844
248,0.14858815997824767
249,0.14159689650806226
250,0.14857535
251,0.14857552237821992
252,0.1485753453863757
253,0.14857535093252072
254,0.14857534630662364
255,0.1485753724688933
256,0.14857536358606796
257,0.14857534593486338
258,0.14857535
259,0.148576290717599
260,0.14869807632219084
261,0.14857533970394546
262,0.1485748848023937
263,0.14831958661082734
264,0.14857535
265,0.14857535
266,0.14857535
267,0.14857535
268,0.14857535
269,0.1485751106350538
270,0.14857126572655296
271,0.14857534394198568
272,0.14857531509637398
273,0.1485753456307412
274,0.14857534623217558
275,0.14857534577117484
276,0.14857534491694158
277,0.14857459453524818
278,0.14859546263783854
279,0.15820398401836516
280,0.1485754041172817
281,0.13948232127696295
282,0.14668671722008597
283,0.14857535122386692
284,0.14852825130947334
285,0.1485753462429127
286,0.14851979471174603
287,0.14829381202609776
288,0.1290507751494382
289,0.14855990340482014
290,0.14454682115605128
291,0.14857606047896343
292,0.14857535
293,0.14857535
294,0.14857908133812456
295,0.1485753460394352
296,0.14857534721900353
297,0.1485753455842152
298,0.14857535103207234
299,0.1485753543472353
300,0.14857534584231946
301,0.14857535920092416
302,0.14857535
303,0.1481703487894522
304,0.14857534454803092
305,0.14787130420857067
306,0.1494144301778263
307,0.14857534652446958
308,0.14857535
309,0.14857535
310,0.14857535
311,0.14856120477287485
312,0.1485718956109036
313,0.14857670534930778
314,0.1485856036023029
315,0.14857533763517858
316,0.15663289607697856
317,0.15474494313089693
318,0.14857535
319,0.14857537026211137
320,0.14857534639279538
321,0.14857534982161835
322,0.14857534585508567
323,0.1390259937116903
324,0.14851160984013823
325,0.14857306765506134
326,0.1434359176340934
327,0.1485747352001954
328,0.14857534594980704
329,0.14857530491322432
330,0.14857535
331,0.14857372174496522
332,0.14857243632108846
333,0.14857535
334,0.14857535
335,0.1485942003229378
336,0.14857535
337,0.14857535
338,0.14857535
339,0.14857535
340,0.14857535
341,0.14857535
342,0.14857535
343,0.14857535
344,0.14857535
345,0.14857535
346,0.14857535
347,0.14857535
348,0.14857007055018917
349,0.14857051450686104
350,0.14857513027425676
351,0.14857521466819368
352,0.14847006165178284
353,0.1485707302170668
354,0.14764535527938188
355,0.14857845362103222
356,0.14857535
357,0.14857535489432688
358,0.14857535
359,0.14857535
360,0.1485753998184994
361,0.14855871490320455
362,0.14857535
363,0.14808861169903217
364,0.14844584976910177
365,0.14857535
366,0.14857147999075548
367,0.14857612048586544
368,0.14857534525796695
369,0.14857534652601506
370,0.14858063828960172
371,0.14857149176057113
372,0.14857535
373,0.14857535
374,0.14857535
375,0.14857535
376,0.14857534585760018
377,0.14857534915554238
378,0.14857534571174832
379,0.14857535
380,0.14857535
381,0.1485753458037016
382,0.1485753458684223
383,0.14857535
384,0.14857535
385,0.14857535
386,0.14857535
387,0.14857535
388,0.14857534468775999
389,0.14857534564518665
390,0.14857534506736095
391,0.1485753460519349
392,0.14857534516643148
393,0.14857535
394,0.14857535
395,0.14857535
396,0.14857535
397,0.14857535
398,0.14857534633081645
399,0.14857536514241
400,0.14857534580687715
401,0.14857534597315908
402,0.14857534530749225
403,0.14857534764370056
404,0.14857539471609604
405,0.1485753897489027
406,0.14857534547007645
407,0.14857534653989146
408,0.148575349978272
409,0.14857534728904445
410,0.14857549336558948
411,0.14857536842274266
412,0.1485753456762533
413,0.1485753454649695
414,0.14857534574858455
415,0.14857534542798398
416,0.14857534574650352
417,0.1485754748643582
418,0.14857551378431827
419,0.148579749206763
420,0.1485762869513343
421,0.14857542341813695
422,0.14858063011491163
423,0.14857534307762743
424,0.14857534571931375
425,0.14857534514549584
426,0.14857534431093408
427,0.14857536199985114
428,0.1485753457157441
429,0.1485753688062048
430,0.14857534568179898
431,0.14857534601515784
432,0.14857534579938758
433,0.14857534535953107
434,0.14857537610132066
435,0.14857534555583873
436,0.14857534623580876
437,0.1485753461170091
438,0.14857534520418272
439,0.14857534557994737
440,0.14857539318254506
441,0.14857534536235983
442,0.1485753628675979
443,0.14857534598268346
444,0.14857534819391188
445,0.1485753449856251
446,0.14857535
447,0.14857535
448,0.14857527100240397
449,0.15550923015635126
450,0.1476949692446245
451,0.14857535
452,0.14857535
453,0.14857535
454,0.14857534562913224
455,0.1485753453834682
456,0.1485753473760217
457,0.14857534612169412
458,0.14857534830853447
459,0.14857574477126656
460,0.14857535
461,0.14857535
462,0.14857535
463,0.14857535
464,0.14857541231864133
465,0.14857535
466,0.14857535
467,0.14857535
468,0.1485753460993498
469,0.14857534577480558
470,0.14857535
471,0.14857535
472,0.14857535
473,0.14857535
474,0.14857535
475,0.14857535
476,0.14857535
477,0.14857534618555707
478,0.14857534589523977
479,0.14857534602548794
480,0.14857534365327837
481,0.14857534512271217
482,0.14857534561839464
483,0.14857534558424929
484,0.14857534669872371
485,0.14857534533263772
486,0.1485753458150368
487,0.14857534515138068
488,0.14857534592176147
489,0.148575686575868
490,0.1485753802960535
491,0.14857532518427444
492,0.14857507678743676
493,0.14857534476992645
494,0.14857535
495,0.14857615952816997
496,0.14857687641852405
497,0.14857534610701778
498,0.14857504521730158
499,0.14857534842286987
500,0.14857536629872128
501,0.1485753539665906
502,0.14857536014876133
503,0.14857535
504,0.14857534488474705
505,0.14857534200062886
506,0.14857535
507,0.14857534551572943
508,0.14857534577170128
509,0.1485753564820337
510,0.1485753495533129
511,0.14857534630640498
512,0.14844438912798796
513,0.14857441716370162
514,0.14857534729532845
515,0.14857534415184634
516,0.14857534568288702
517,0.1485753558815958
518,0.14866977928740885
519,0.14857592000238598
520,0.14857486471215642
521,0.1485755724451324
522,0.14867892392290005
523,0.14859662305235452
524,0.14857535659666754
525,0.14857546294075694
526,0.1485769182045101
527,0.14857535
528,0.14857532512645627
529,0.14857547632387608
530,0.14857535
531,0.14857536176266192
532,0.14857535529132626
533,0.1485753501925399
534,0.14857534595899738
535,0.14857534596334288
