,0
0,0.22198799305466255
1,0.2651138888529597
2,0.3017804845810228
3,0.36128909252680486
4,0.393290044459294
5,0.3967917160270375
6,0.3997180924451358
7,0.39873471138612815
8,0.38734159472011354
9,0.3655039370160062
10,0.29134016373640165
11,0.20332459812360007
